Field of View,Cell ID,X,Y,Region
1,41,375.37,848.23,Cortex
1,42,451.05,845.44,Cortex
1,43,508.2,854.1,Cortex
1,44,1402.5,865.38,Cortex
1,45,1159.9,894.7,Cortex
1,46,1495.1,955.24,Cortex
1,47,366.94,972.24,Cortex
1,48,1388.5,972.1,Cortex
1,49,513.53,979.4,Cortex
1,50,1039.8,991.14,Cortex
1,51,289.92,1001.6,Cortex
1,52,1555.4,1015.5,Cortex
1,53,397.93,1044.7,Cortex
1,54,1816.8,1062.3,Cortex
1,55,1311.8,1064.3,Cortex
1,56,1223.2,1068.7,Cortex
1,57,1954.9,1080.9,Cortex
1,58,1410.2,1077.8,Cortex
1,59,1675.7,1086.2,Cortex
1,60,1002.1,1094.2,Cortex
1,61,1103.8,1102.7,Cortex
1,62,247.23,1111.9,Cortex
1,63,1534.7,1118.8,Cortex
1,64,493.17,1132.6,Cortex
1,65,176.2,1138.3,Cortex
1,66,1197.8,1158.6,Cortex
1,67,1370.7,1173.5,Cortex
1,68,324.83,1171.1,Cortex
1,69,1443.6,1172.4,Cortex
1,70,427.71,1198.8,Cortex
1,71,1535.1,1200.2,Cortex
1,72,900.27,1238.5,Cortex
1,73,224.88,1256.6,Cortex
1,74,1461.1,1280.3,Cortex
1,75,1021.7,1287,Cortex
1,76,1117.7,1293.9,Cortex
1,77,440.01,1288.7,Cortex
1,78,1737.6,1294.6,Cortex
1,79,945.65,1316.1,Cortex
1,80,368.95,1337,Cortex
1,81,561.77,1325.4,Cortex
1,82,1802.9,1378.6,Cortex
1,83,1326.7,1369.9,Cortex
1,84,1687.2,1392,Cortex
1,85,514.6,1405.4,Cortex
1,86,1241.1,1416.5,Cortex
1,87,861.75,1422.2,Cortex
1,88,590.72,1450.9,Cortex
1,89,743.94,1449.9,Cortex
1,90,1463.2,1454.4,Cortex
1,91,1109,1461.1,Cortex
1,92,464.69,1475.3,Cortex
1,93,918.22,1498.7,Cortex
1,94,1748.9,1504.6,Cortex
1,95,1205.4,1539,Cortex
1,96,743.17,1548.5,Cortex
1,97,1087.2,1575.8,Cortex
1,98,856.63,1602.7,Cortex
1,99,531.71,1597.7,Cortex
1,100,1751.5,1615.1,Cortex
1,101,653.89,1619.9,Cortex
1,102,1625.7,1618.1,Cortex
1,103,751.4,1634.2,Cortex
1,104,1164.1,1649.6,Cortex
1,105,1536.8,1667,Cortex
1,106,1020.7,1715.3,Cortex
1,107,918.24,1736.8,Cortex
1,108,1046.5,1825.1,Cortex
2,1,1033.1,257.05,Cortex
2,2,794.27,292.92,Cortex
2,3,892.49,333.43,Cortex
2,4,1037.7,482.11,Cortex
2,5,1174.9,454.87,Cortex
2,6,864.35,553.63,Cortex
2,7,1112.1,572.82,Cortex
2,8,1240.8,601.12,Cortex
2,9,1365.4,629.16,Cortex
2,10,713.46,648.61,Cortex
2,11,1351.7,731,Cortex
2,12,874.24,769.85,Cortex
2,13,1231.8,782.75,Cortex
2,14,1699.3,815.55,Cortex
2,15,1336,845.58,Cortex
2,16,568.71,905.37,Cortex
2,17,1744.9,914.82,Cortex
2,18,1145.7,942.57,Cortex
2,19,1047.9,969.42,Cortex
2,20,493.04,1010.5,Cortex
2,21,999.3,1015.8,Cortex
2,22,1623.1,1034.6,Cortex
2,23,1437.8,1046.3,Cortex
2,24,752.18,1060.3,Cortex
2,25,490.18,1135.7,Cortex
2,26,1073.6,1212.2,Cortex
2,27,1585.5,1208.9,Cortex
2,28,761.15,1230.4,Cortex
2,29,529.72,1280.6,Cortex
2,30,872.18,1260.4,Cortex
2,31,800.37,1293.8,Cortex
2,32,1122.9,1357.8,Cortex
2,33,1281.7,1370.7,Cortex
2,34,1487.7,1419.8,Cortex
2,35,1168.7,1459.4,Cortex
2,36,1620.9,1484.7,Cortex
2,37,998.12,1506.5,Cortex
2,38,906.57,1575,Cortex
2,39,1769.8,1623.7,Cortex
2,40,974.49,1642.2,Cortex
2,41,1879.2,1640,Cortex
2,42,1473.7,1712.1,Cortex
2,43,873.9,1791.7,Cortex
2,44,1327.8,1779.7,Cortex
2,45,1507.3,242.2,Cortex
2,46,1522.7,378.56,Cortex
2,47,1655.5,403.55,Cortex
2,48,1415.4,428.59,Cortex
2,49,1309.2,499.93,Cortex
2,50,1484.8,523.33,Cortex
2,51,1668.2,564.18,Cortex
